A Number,First Name,Last Name,Birthdate,Country Of Origin,Gender,Port of Entry,Digitized Flag
870476060,Arvie,Barnett,7/2/1956,Philippines,Genderfluid,"Buffalo, New York - 0901",true
772545071,Nissy,Vyel,1/17/1957,Indonesia,Bigender,"Albuquerque, New Mexico - 2407",true
586518415,Terrie,Denmead,5/16/1978,Namibia,Male,"Tucson, Arizona - 2609",true
715237699,Goddart,Stopp,2/13/1994,Japan,Female,"Tucson, Arizona - 2609",true
573739034,Evelin,de Najera,11/11/1956,China,Bigender,"Buffalo, New York - 0901",true
768973386,Kendra,Jacks,1/2/1969,China,Genderfluid,"Nogales, Arizona - 2604",true
345030159,Harlene,Boc,12/13/1952,Russia,Bigender,"Tucson, Arizona - 2609",true
347122016,Boniface,Mahady,11/20/1991,China,Polygender,"Tucson, Arizona - 2609",true
262944118,Meryl,Possa,1/18/1985,Indonesia,Agender,"Rio Grande City, Texas - 2307",true
864468074,Guinna,Beric,8/24/1969,Mauritius,Genderqueer,"Tucson, Arizona - 2609",true
197713158,Shani,Cheyenne,4/9/1973,Brazil,Female,"Buffalo, New York - 0901",true
587885037,Mei,Adamini,10/26/1971,France,Non-binary,"Tucson, Arizona - 2609",true
902081618,Sapphira,Basham,11/12/1999,Greece,Female,"Albuquerque, New Mexico - 2407",false
888838249,Clareta,Marchant,3/9/1976,Russia,Female,"Albuquerque, New Mexico - 2407",true
373613790,Shelbi,Giacobini,9/3/1952,Indonesia,Genderfluid,"Calexico East - Class A, California - 2507",false
212858351,Sioux,Busch,3/28/1956,Haiti,Genderqueer,"Nogales, Arizona - 2604",true
114977335,Ginevra,Emeny,8/1/1961,France,Bigender,"Albuquerque, New Mexico - 2407",true
858207988,Irvin,Works,7/11/1985,Botswana,Genderfluid,"Amarillo, Texas - 5502",true
911015242,Romona,Brandt,11/7/1991,China,Polygender,"Albuquerque, New Mexico - 2407",false
257984442,Selena,Cordy,8/16/1958,Peru,Genderfluid,"Nogales, Arizona - 2604",true
549567356,Xavier,Budibent,5/21/1973,Sweden,Genderfluid,"Nogales, Arizona - 2604",true
178250232,Vida,Gwyer,5/16/1989,Philippines,Bigender,"Calexico East - Class A, California - 2507",false
339538678,Hally,Mapis,10/20/1969,Indonesia,Non-binary,"Buffalo, New York - 0901",true
994232787,Robbie,Temblett,7/26/1980,Russia,Non-binary,"Albuquerque, New Mexico - 2407",true
333586280,Kaylil,Belsher,3/9/1956,Croatia,Male,"Calexico East - Class A, California - 2507",false
216414657,Jaye,Wort,5/9/1953,Portugal,Genderfluid,"Tucson, Arizona - 2609",true
582859561,Robyn,Flockhart,10/3/1963,China,Genderfluid,"Nogales, Arizona - 2604",true
423314590,Gian,Beacroft,7/9/1957,Swaziland,Genderqueer,"Nogales, Arizona - 2604",false
341953886,Taber,Gandley,2/19/1994,Brazil,Bigender,"Amarillo, Texas - 5502",false
509740760,Josefina,Faers,5/30/1990,Philippines,Bigender,"Amarillo, Texas - 5502",false
281868363,Gibbie,Schuster,12/6/1996,Indonesia,Polygender,"Buffalo, New York - 0901",false
898225792,Dore,Matevushev,8/31/1959,Mexico,Genderfluid,"Nogales, Arizona - 2604",true
475121090,Eugenie,Sackes,10/23/1971,East Timor,Bigender,"Albuquerque, New Mexico - 2407",false
503156726,Raynor,Beetlestone,11/15/1999,China,Female,"Nogales, Arizona - 2604",true
169753810,Morse,Risso,7/3/1965,China,Genderqueer,"Rio Grande City, Texas - 2307",true
934679344,Janelle,Pallatina,3/19/1967,China,Polygender,"Albuquerque, New Mexico - 2407",true
575082916,Daisie,McAvinchey,11/4/1989,Indonesia,Female,"Buffalo, New York - 0901",false
588504978,Junette,Wortley,10/30/1991,Bolivia,Male,"Buffalo, New York - 0901",false
755769152,Pippy,Giffen,7/25/1973,Venezuela,Male,"Tucson, Arizona - 2609",false
670990812,Rica,Tohill,5/22/1969,Germany,Polygender,"Albuquerque, New Mexico - 2407",false
583468303,Irwinn,Jorden,8/30/1956,Russia,Polygender,"Tucson, Arizona - 2609",true
806333796,Wash,Winckworth,10/3/1982,Iran,Agender,"Amarillo, Texas - 5502",true
360828340,Mariquilla,Anyene,2/10/1976,Russia,Bigender,"Buffalo, New York - 0901",false
423041703,Ab,Hundal,11/19/1950,Colombia,Male,"Rio Grande City, Texas - 2307",false
769102765,Bird,Admans,1/2/1979,Indonesia,Bigender,"Rio Grande City, Texas - 2307",true
303599379,Violante,Wayon,7/25/1960,Tunisia,Genderqueer,"Albuquerque, New Mexico - 2407",false
982310453,Fleurette,Risebarer,11/9/1996,Russia,Bigender,"Amarillo, Texas - 5502",false
592514474,Roxie,Arcase,3/31/1952,Philippines,Female,"Amarillo, Texas - 5502",true
204186120,Desirae,Huddle,5/20/1966,Russia,Non-binary,"Calexico East - Class A, California - 2507",false
430249587,Erasmus,Bloggett,9/23/1954,Indonesia,Genderfluid,"Albuquerque, New Mexico - 2407",true
840546575,Brok,Keppin,12/4/1965,Tajikistan,Male,"Tucson, Arizona - 2609",false
507816619,Alys,Hammon,2/7/1990,China,Female,"Albuquerque, New Mexico - 2407",true
128715282,Sheri,Larrie,7/20/1991,China,Non-binary,"Amarillo, Texas - 5502",true
849558220,Neala,McEneny,4/18/1950,China,Genderqueer,"Albuquerque, New Mexico - 2407",false
637093884,Bentley,Mandell,7/7/1955,Philippines,Female,"Buffalo, New York - 0901",false
834513061,Anjela,Graeser,7/4/1987,Russia,Polygender,"Rio Grande City, Texas - 2307",false
739590332,Barbette,Standering,10/18/1987,Ukraine,Genderfluid,"Albuquerque, New Mexico - 2407",false
340031612,Clerissa,Ben,2/6/1956,Portugal,Non-binary,"Tucson, Arizona - 2609",false
209246907,Adelle,King,10/24/1984,Morocco,Non-binary,"Rio Grande City, Texas - 2307",true
564492514,Lyndel,Hardwicke,5/2/1965,Ukraine,Genderqueer,"Nogales, Arizona - 2604",true
766727703,Ruperto,Mannin,10/10/1979,China,Polygender,"Albuquerque, New Mexico - 2407",true
702846269,Helena,Kaasman,6/17/1967,Sweden,Female,"Calexico East - Class A, California - 2507",false
446045748,Collen,Cristoforetti,1/12/1953,Indonesia,Genderqueer,"Buffalo, New York - 0901",false
900877944,Nannie,Nellis,6/19/1958,China,Female,"Tucson, Arizona - 2609",true
629220390,Elfie,Pimbley,8/7/1986,Latvia,Polygender,"Albuquerque, New Mexico - 2407",true
640331761,Booth,Inglese,5/20/1955,Russia,Genderfluid,"Rio Grande City, Texas - 2307",false
267609970,Camel,McNicol,11/28/1953,China,Genderqueer,"Calexico East - Class A, California - 2507",true
342102767,Marcelia,Garfirth,6/11/1988,China,Genderqueer,"Tucson, Arizona - 2609",true
102545743,Frederik,Slaght,1/16/1955,Guatemala,Bigender,"Buffalo, New York - 0901",false
274274155,Flory,Slocum,12/20/1971,South Africa,Polygender,"Tucson, Arizona - 2609",true
894687972,Bebe,Signe,11/21/1970,China,Genderfluid,"Nogales, Arizona - 2604",true
215367627,Aindrea,Emblow,12/15/1968,Poland,Agender,"Calexico East - Class A, California - 2507",true
875934688,Garey,Francello,11/27/1996,China,Genderqueer,"Nogales, Arizona - 2604",false
850383421,Eda,Storre,9/28/1950,China,Genderqueer,"Tucson, Arizona - 2609",false
226288759,Ezra,Kinchin,8/2/1953,France,Genderqueer,"Buffalo, New York - 0901",true
614443071,Cecil,Radnage,4/7/1961,Indonesia,Non-binary,"Tucson, Arizona - 2609",true
246628856,Lennard,Bastide,4/19/1967,Brazil,Female,"Albuquerque, New Mexico - 2407",false
176254950,Christoffer,Redhole,7/21/1968,Argentina,Polygender,"Calexico East - Class A, California - 2507",false
967710206,Mikaela,Hawkey,5/3/1984,Philippines,Female,"Tucson, Arizona - 2609",false
446985142,Kristo,Varah,4/27/1982,Ecuador,Non-binary,"Calexico East - Class A, California - 2507",true
826001253,Ferris,Hazlegrove,10/1/1957,Indonesia,Genderfluid,"Calexico East - Class A, California - 2507",false
558957749,Laurice,Clucas,11/10/1962,Indonesia,Genderfluid,"Calexico East - Class A, California - 2507",true
112944860,Nikolia,Levene,10/26/1950,Indonesia,Polygender,"Tucson, Arizona - 2609",false
906549873,Rosabella,Iacovuzzi,10/28/1977,Chile,Male,"Albuquerque, New Mexico - 2407",false
563881327,Cate,Side,4/28/1989,Portugal,Female,"Albuquerque, New Mexico - 2407",false
104425019,Noe,Couves,7/3/1968,South Korea,Genderqueer,"Amarillo, Texas - 5502",true
111221194,Bette,McGilben,12/17/1968,France,Non-binary,"Tucson, Arizona - 2609",true
488241976,Ofilia,Richford,5/4/1952,Indonesia,Bigender,"Buffalo, New York - 0901",false
637675695,Klarrisa,Talks,10/24/1987,Cameroon,Genderqueer,"Nogales, Arizona - 2604",true
889487307,Ethelda,Norvill,8/29/1957,China,Non-binary,"Buffalo, New York - 0901",false
335144029,Conney,Doleman,11/10/1999,Mexico,Bigender,"Nogales, Arizona - 2604",true
307974454,Roana,Cutmare,10/30/1976,Venezuela,Female,"Albuquerque, New Mexico - 2407",true
976481437,Stacia,Gibling,3/20/1970,Poland,Agender,"Buffalo, New York - 0901",true
471324578,Bertrand,Rosewarne,1/21/1960,Albania,Genderfluid,"Albuquerque, New Mexico - 2407",true
677748956,Bourke,Blezard,5/31/1987,China,Genderfluid,"Calexico East - Class A, California - 2507",true
711307444,Horatio,Glendining,6/6/1952,South Africa,Bigender,"Rio Grande City, Texas - 2307",true
629972420,Leandra,Aronstein,11/4/1995,China,Bigender,"Nogales, Arizona - 2604",true
307923043,Erik,Claw,6/13/1969,Czech Republic,Female,"Buffalo, New York - 0901",false
108392392,Natassia,Fulger,4/25/1985,France,Bigender,"Amarillo, Texas - 5502",false
624817737,Wandie,De Maine,3/20/1957,Russia,Bigender,"Nogales, Arizona - 2604",false
954301531,Andonis,Jennison,1/5/1998,Poland,Bigender,"Tucson, Arizona - 2609",true
943808173,Arney,Schober,11/12/1990,South Africa,Genderqueer,"Nogales, Arizona - 2604",false
933967118,Billie,Krale,9/15/1980,Poland,Genderqueer,"Buffalo, New York - 0901",false
171684864,Demetra,Jagoe,10/3/1955,China,Bigender,"Albuquerque, New Mexico - 2407",false
747678644,Sandie,Stot,8/26/1984,Mexico,Genderqueer,"Amarillo, Texas - 5502",true
802704720,Johan,O'Longain,9/13/1985,Colombia,Polygender,"Amarillo, Texas - 5502",true
340102775,Shaine,Sneaker,9/8/1985,Kenya,Genderfluid,"Amarillo, Texas - 5502",false
619491062,Anna-maria,Huniwall,2/25/1959,Indonesia,Female,"Rio Grande City, Texas - 2307",false
503939252,Joachim,Matschek,12/19/1973,China,Bigender,"Rio Grande City, Texas - 2307",false
628609053,Avrit,Kennerley,9/14/1952,United States,Female,"Albuquerque, New Mexico - 2407",false
488473810,Lucais,Stanney,7/30/1966,China,Agender,"Albuquerque, New Mexico - 2407",false
380231076,Lotty,Ligertwood,8/19/1954,China,Bigender,"Amarillo, Texas - 5502",false
520231071,Feliza,Drewe,7/22/1991,Russia,Genderfluid,"Calexico East - Class A, California - 2507",true
772238403,Anders,Gerretsen,7/18/1969,United Kingdom,Polygender,"Tucson, Arizona - 2609",true
433034924,Beau,Dand,4/7/1978,Armenia,Genderfluid,"Amarillo, Texas - 5502",true
970886098,Loren,Altofts,10/4/1972,Ireland,Female,"Calexico East - Class A, California - 2507",false
202259760,Francklin,Osgorby,1/18/1985,Portugal,Genderqueer,"Rio Grande City, Texas - 2307",false
587085160,Luz,Szabo,12/26/1957,Russia,Non-binary,"Calexico East - Class A, California - 2507",true
427628576,Jo,Cooksey,7/11/1965,China,Non-binary,"Nogales, Arizona - 2604",true
597804667,Caprice,Natwick,5/2/1987,Indonesia,Male,"Buffalo, New York - 0901",false
146333594,Marybeth,Davidwitz,8/29/1991,Norway,Polygender,"Buffalo, New York - 0901",true
