Id,Name,Birthdate__c,Country_Of_Origin__c,Digitized_Flag__c,First_Name__c,Gender__c,Last_Name__c,Port_of_Entry__c,Handcrafted_for_eWRTS_Demo_Scenario__c
a003B000005F2U6QAK,408130267,1975-09-23,China,false,Regan,Genderfluid,Daenen,"Amarillo, Texas - 5502",true
a003B000005F2U7QAK,747568192,1998-12-01,Philippines,false,Cale,Genderqueer,Leppington,"Rio Grande City, Texas - 2307",true
a003B000005F2U8QAK,948378081,1973-08-09,Russia,false,Eran,Bigender,Scatchard,"Amarillo, Texas - 5502",true
a003B000005F2U9QAK,548051689,1988-05-27,Mongolia,true,Albie,Male,Sudlow,"Amarillo, Texas - 5502",true
a003B000005F2UAQA0,160996047,1993-10-18,Turkmenistan,true,Lion,Non-binary,Denerley,"Albuquerque, New Mexico - 2407",true
a003B000005F2UBQA0,551467051,1958-10-29,Finland,true,Josi,Female,Delion,"Tucson, Arizona - 2609",true
a003B000005F2UCQA0,440729494,1982-11-08,Russia,false,Nickola,Genderfluid,Cappel,"Rio Grande City, Texas - 2307",true
a003B000005F2UDQA0,262886180,1981-01-07,Sierra Leone,true,Waneta,Female,Eddy,"Rio Grande City, Texas - 2307",true
a003B000005F2UEQA0,367581521,1957-08-29,Iran,true,Kitty,Genderqueer,de Werk,"Calexico East - Class A, California - 2507",true
a003B000005F2UFQA0,798485553,1978-05-04,Czech Republic,false,Constantia,Bigender,Ezzy,"Calexico East - Class A, California - 2507",true
a003B000005F2UGQA0,773532702,1951-10-14,Indonesia,true,Carlee,Genderfluid,Endecott,"Amarillo, Texas - 5502",true
a003B000005F2UHQA0,274549974,1997-10-08,France,false,Georgina,Genderqueer,Adnam,"Albuquerque, New Mexico - 2407",true
a003B000005F2UIQA0,127749496,1965-11-06,Sweden,false,Dallon,Female,O'Neill,"Buffalo, New York - 0901",true
a003B000005F2UJQA0,306458945,1991-12-03,China,false,Noah,Polygender,Hubery,"Nogales, Arizona - 2604",true
a003B000005F2UKQA0,696023050,1970-05-25,Philippines,true,Naoma,Genderfluid,Dobie,"Tucson, Arizona - 2609",true
a003B000005F2ULQA0,882623786,1968-12-13,Germany,false,Kin,Male,Yeabsley,"Nogales, Arizona - 2604",true
a003B000005F2UMQA0,889840786,1975-08-28,Thailand,false,Dan,Polygender,Baggalley,"Calexico East - Class A, California - 2507",true
a003B000005F2UNQA0,588546494,1953-05-02,Indonesia,true,Carin,Agender,Teape,"Amarillo, Texas - 5502",true
a003B000005F2UOQA0,300950481,1974-01-13,Finland,false,Marijn,Agender,Every,"Tucson, Arizona - 2609",true
a003B000005F2UPQA0,165733699,1990-07-31,Estonia,true,Artus,Agender,Sweatland,"Nogales, Arizona - 2604",true
a003B000005F2UQQA0,969208932,1963-07-17,Poland,true,Glyn,Polygender,Poncet,"Calexico East - Class A, California - 2507",true
a003B000005F2URQA0,381981683,1964-01-07,France,false,Baldwin,Genderqueer,Frances,"Albuquerque, New Mexico - 2407",true
a003B000005F2USQA0,768149624,1986-08-22,Ukraine,true,Dori,Genderqueer,Cowthard,"Buffalo, New York - 0901",true
a003B000005F2UTQA0,315498066,1952-12-14,Portugal,false,Geraldine,Polygender,Pinn,"Amarillo, Texas - 5502",true
a003B000005F2UUQA0,377610232,1995-04-09,Sri Lanka,false,Stewart,Bigender,Kohler,"Calexico East - Class A, California - 2507",true
a003B000005F2UVQA0,412196563,1998-12-25,Ivory Coast,true,Caleb,Female,Balkwill,"Calexico East - Class A, California - 2507",true
a003B000005F2UWQA0,867997767,1993-08-31,Philippines,true,Burtie,Bigender,Cantrill,"Rio Grande City, Texas - 2307",true
a003B000005F2UXQA0,935079037,1966-02-16,Bosnia and Herzegovina,false,Dannie,Female,Thebeaud,"Buffalo, New York - 0901",true
a003B000005F2UYQA0,858451116,1971-01-14,Philippines,false,Ingrid,Polygender,Kinson,"Buffalo, New York - 0901",true
a003B000005F2UZQA0,302766615,1956-09-16,Mexico,true,Clarance,Female,Ondrak,"Amarillo, Texas - 5502",true
a003B000005F2UaQAK,459562530,1987-12-04,Ukraine,true,Denney,Polygender,Handrek,"Albuquerque, New Mexico - 2407",true
a003B000005F2UbQAK,255437954,1957-08-04,Laos,true,Margeaux,Polygender,Meins,"Amarillo, Texas - 5502",true
a003B000005F2UcQAK,738101950,1987-08-13,Portugal,true,Magdaia,Genderqueer,De Blasiis,"Nogales, Arizona - 2604",true
a003B000005F2UdQAK,888456459,1990-10-23,Philippines,true,Norah,Polygender,Oxborough,"Tucson, Arizona - 2609",true
a003B000005F2UeQAK,207140069,1991-04-11,Vietnam,false,Charlean,Polygender,Mapis,"Rio Grande City, Texas - 2307",true
a003B000005F2UfQAK,781194374,1960-06-08,China,true,Minne,Male,Jaime,"Rio Grande City, Texas - 2307",true
a003B000005F2UgQAK,403652952,1954-05-23,Russia,false,Gerald,Agender,Desborough,"Albuquerque, New Mexico - 2407",true
a003B000005F2UhQAK,196299792,1987-02-10,United States,false,Etienne,Agender,Folca,"Nogales, Arizona - 2604",true
a003B000005F2UiQAK,125776843,1961-08-15,Hungary,true,Guido,Male,Stelfax,"Rio Grande City, Texas - 2307",true
a003B000005F2UjQAK,135912435,1984-04-17,Indonesia,true,Nehemiah,Polygender,Perone,"Nogales, Arizona - 2604",true
a003B000005F2UkQAK,603801259,1993-05-15,China,true,Gilberte,Bigender,O'Mullally,"Nogales, Arizona - 2604",true
a003B000005F2UlQAK,307436425,1988-01-19,Brazil,false,Langston,Genderfluid,Bullivent,"Amarillo, Texas - 5502",true
a003B000005F2UmQAK,524824539,1951-05-23,Panama,true,Becka,Genderfluid,Flanagan,"Amarillo, Texas - 5502",true
a003B000005F2UnQAK,918226373,1997-07-17,China,false,Mathew,Polygender,Knightsbridge,"Rio Grande City, Texas - 2307",true
a003B000005F2UoQAK,824717168,1962-03-07,Indonesia,true,Taryn,Bigender,Blundell,"Nogales, Arizona - 2604",true
a003B000005F2UpQAK,609068363,1990-04-07,Philippines,false,Darsey,Genderfluid,Raffan,"Albuquerque, New Mexico - 2407",true
a003B000005F2UqQAK,693730392,1997-09-01,Bolivia,false,Fanchon,Agender,Loges,"Buffalo, New York - 0901",true
a003B000005F2UrQAK,418516338,1973-11-29,Greece,false,Kendell,Agender,Flement,"Tucson, Arizona - 2609",true
a003B000005F2UsQAK,231379251,1998-11-21,Indonesia,false,Giffy,Genderqueer,Tallyn,"Tucson, Arizona - 2609",true
a003B000005F2UtQAK,353542885,1972-04-05,Peru,true,Maxie,Genderqueer,Worman,"Tucson, Arizona - 2609",true
a003B000005F2UuQAK,354392214,1962-06-02,Sweden,true,Yvonne,Agender,Escolme,"Calexico East - Class A, California - 2507",true
a003B000005F2UvQAK,350097153,1960-01-07,South Africa,false,Andriette,Bigender,Malyj,"Buffalo, New York - 0901",true
a003B000005F2UwQAK,691505416,1972-03-31,Ukraine,true,Welch,Agender,Drinkwater,"Buffalo, New York - 0901",true
a003B000005F2UxQAK,390272924,1991-08-11,China,false,Jarred,Genderqueer,Gjerde,"Amarillo, Texas - 5502",true
a003B000005F2UyQAK,249948854,1991-01-16,Portugal,false,Basia,Genderqueer,Tills,"Nogales, Arizona - 2604",true
a003B000005F2UzQAK,389299437,1956-07-14,France,false,Tobe,Polygender,Theyer,"Albuquerque, New Mexico - 2407",true
a003B000005F2V0QAK,224466881,1989-09-21,China,true,Sterne,Female,Goldsberry,"Nogales, Arizona - 2604",true
a003B000005F2V1QAK,984113592,1984-05-01,Chile,true,Winnifred,Genderqueer,Fehner,"Amarillo, Texas - 5502",true
a003B000005F2V2QAK,480637561,1956-10-24,Saudi Arabia,false,Karalynn,Non-binary,Drewett,"Amarillo, Texas - 5502",true
a003B000005F2V3QAK,187290298,1999-11-01,Peru,true,Hannah,Genderfluid,Shattock,"Amarillo, Texas - 5502",true
a003B000005F2V4QAK,101859126,1951-08-29,Czech Republic,true,Reg,Male,Lilford,"Nogales, Arizona - 2604",true
a003B000005F2V5QAK,492185158,1999-06-03,Philippines,true,Lorant,Male,Eminson,"Tucson, Arizona - 2609",true
a003B000005F2V6QAK,813386007,1981-12-28,Nicaragua,false,Dino,Agender,Madden,"Calexico East - Class A, California - 2507",true
a003B000005F2V7QAK,531294678,1997-12-14,Philippines,true,Karl,Male,Vautrey,"Buffalo, New York - 0901",true
a003B000005F2V8QAK,482784577,1997-08-22,Tajikistan,false,Pooh,Polygender,Daunay,"Calexico East - Class A, California - 2507",true
a003B000005F2V9QAK,541851387,1951-10-18,Malawi,true,Lizette,Non-binary,Lambregts,"Buffalo, New York - 0901",true
a003B000005F2VAQA0,517578324,1958-07-26,Comoros,true,Etienne,Male,Gooch,"Rio Grande City, Texas - 2307",true
a003B000005F2VBQA0,738481921,1969-11-30,South Africa,true,Angel,Genderqueer,Burrows,"Rio Grande City, Texas - 2307",true
a003B000005F2VCQA0,325154733,1983-10-06,Netherlands,false,Barnie,Female,Antonik,"Buffalo, New York - 0901",true
a003B000005F2VDQA0,934561009,1968-07-08,Sudan,true,Port,Male,O' Loughran,"Buffalo, New York - 0901",true
a003B000005F2VEQA0,661198537,1964-01-23,China,false,Rodney,Male,Clemmitt,"Buffalo, New York - 0901",true
a003B000005F2VFQA0,599735232,1994-12-18,Indonesia,false,Kleon,Non-binary,Osorio,"Tucson, Arizona - 2609",true
a003B000005F2VGQA0,859449411,1970-02-08,Russia,false,Kelley,Male,Hoodlass,"Calexico East - Class A, California - 2507",true
a003B000005F2VHQA0,539256734,1989-05-07,Cuba,true,Olivie,Non-binary,Hendrix,"Albuquerque, New Mexico - 2407",true
a003B000005F2VIQA0,223175542,1956-07-16,Pakistan,true,Ulises,Genderqueer,Storton,"Tucson, Arizona - 2609",true
a003B000005F2VJQA0,863514183,1969-10-29,China,true,Stephani,Polygender,Ginnelly,"Nogales, Arizona - 2604",true
a003B000005F2VKQA0,787581605,1978-08-13,Brazil,false,Bamby,Genderfluid,Mattisssen,"Tucson, Arizona - 2609",true
a003B000005F2VLQA0,763098970,1973-08-18,Russia,true,Stacee,Polygender,Duran,"Albuquerque, New Mexico - 2407",true
a003B000005F2VMQA0,718059543,1975-10-02,France,true,Hal,Non-binary,Willment,"Buffalo, New York - 0901",true
a003B000005F2VNQA0,206582796,1990-07-16,Macedonia,false,Herculie,Polygender,Duffyn,"Albuquerque, New Mexico - 2407",true
a003B000005F2VOQA0,531313442,1998-03-02,Saint Vincent and the Grenadines,false,Alexandrina,Bigender,Sartin,"Albuquerque, New Mexico - 2407",true
a003B000005F2VPQA0,574170492,1996-09-02,China,true,Farand,Genderfluid,Cavnor,"Amarillo, Texas - 5502",true
a003B000005F2VQQA0,872438553,1992-11-04,China,false,Huntlee,Non-binary,Pote,"Tucson, Arizona - 2609",true
a003B000005F2VRQA0,695964397,1958-10-03,China,true,Umeko,Agender,Gooderridge,"Rio Grande City, Texas - 2307",true
a003B000005F2VSQA0,770389674,1971-04-18,China,true,Ban,Polygender,Sacchetti,"Albuquerque, New Mexico - 2407",true
a003B000005F2VTQA0,483031596,1986-12-04,Portugal,true,Brittni,Bigender,Haydock,"Albuquerque, New Mexico - 2407",true
a003B000005F2VUQA0,500832628,1986-06-25,Sweden,true,Coreen,Polygender,Yoselevitch,"Rio Grande City, Texas - 2307",true
a003B000005F2VVQA0,458555945,1998-09-04,Brazil,false,Imogen,Non-binary,Dassindale,"Albuquerque, New Mexico - 2407",true
a003B000005F2VWQA0,105870469,1975-11-06,Indonesia,false,Roanna,Genderqueer,De Roberto,"Nogales, Arizona - 2604",true
a003B000005F2VXQA0,245225589,1991-11-14,Sweden,false,Deina,Bigender,Thomtson,"Tucson, Arizona - 2609",true
a003B000005F2VYQA0,842878073,1952-01-18,Sweden,false,Clarance,Genderqueer,Gillimgham,"Calexico East - Class A, California - 2507",true
a003B000005F2VZQA0,387356263,1964-10-04,Peru,true,Isidore,Genderfluid,Klimkiewich,"Buffalo, New York - 0901",true
a003B000005F2VaQAK,251097776,1977-11-08,Italy,false,Donella,Genderqueer,Tressler,"Amarillo, Texas - 5502",true
a003B000005F2VbQAK,921136265,1981-12-01,Canada,true,Meris,Female,Gumn,"Nogales, Arizona - 2604",true
a003B000005F2VcQAK,142079617,1996-05-11,Brazil,true,Carmela,Genderfluid,Lilbourne,"Calexico East - Class A, California - 2507",true
a003B000005F2VdQAK,294309995,1993-10-23,Malaysia,true,Morgen,Genderfluid,Friedman,"Calexico East - Class A, California - 2507",true
a003B000005F2VeQAK,117559203,1981-03-23,China,true,Sibella,Non-binary,Davidovic,"Tucson, Arizona - 2609",true
a003B000005F2VfQAK,452657410,1979-02-24,Cuba,false,Christel,Polygender,Manwaring,"Albuquerque, New Mexico - 2407",true
a003B000005F2VgQAK,568536843,1996-02-20,Indonesia,true,Lavinie,Agender,Tabner,"Tucson, Arizona - 2609",true
a003B000005F2VhQAK,910517004,1978-07-10,Indonesia,false,Rosanne,Female,Ridolfi,"Buffalo, New York - 0901",true
a003B000005F2ViQAK,281131035,1996-02-19,France,true,Arlie,Genderfluid,Garrat,"Albuquerque, New Mexico - 2407",true
a003B000005F2VjQAK,173510692,1950-11-03,Brazil,true,Perla,Genderfluid,Baptie,"Calexico East - Class A, California - 2507",true
a003B000005F2VkQAK,273515753,1957-10-21,Nicaragua,true,Rinaldo,Bigender,Call,"Albuquerque, New Mexico - 2407",true
a003B000005F2VlQAK,276862650,1950-06-18,United States,false,Major,Genderqueer,Klaes,"Rio Grande City, Texas - 2307",true
a003B000005F2VmQAK,858703933,1956-08-07,United States,true,Saree,Genderfluid,Winfield,"Albuquerque, New Mexico - 2407",true
a003B000005F2VnQAK,326924751,1980-11-13,Indonesia,false,Wylma,Genderfluid,Bonnesen,"Tucson, Arizona - 2609",true
a003B000005F2VoQAK,525870153,1995-04-20,Indonesia,true,Elvera,Polygender,Broek,"Calexico East - Class A, California - 2507",true
a003B000005F2VpQAK,848536710,1956-08-08,Indonesia,true,Oriana,Polygender,Danilchenko,"Tucson, Arizona - 2609",true
a003B000005F2VqQAK,395464411,1984-03-15,Cambodia,false,Shannan,Non-binary,Jertz,"Tucson, Arizona - 2609",true
a003B000005F2VrQAK,903027376,1974-06-15,Colombia,false,Tyne,Genderqueer,Cawthorn,"Buffalo, New York - 0901",true
a003B000005F2VsQAK,123642165,1999-09-23,Uruguay,true,Konstantin,Male,Rigg,"Rio Grande City, Texas - 2307",true
a003B000005F2VtQAK,433824467,1974-12-03,China,true,Jecho,Genderfluid,Stebbing,"Calexico East - Class A, California - 2507",true
a003B000005F2VuQAK,214227021,1960-03-19,Sweden,false,Prudi,Genderfluid,Ponceford,"Nogales, Arizona - 2604",true
a003B000005F2VvQAK,616943478,1967-05-07,Uganda,false,Glennie,Genderqueer,Jedrzejewicz,"Calexico East - Class A, California - 2507",true
a003B000005F2VwQAK,849867487,1976-06-18,Russia,false,Mathilde,Female,Wyldes,"Tucson, Arizona - 2609",true
a003B000005F2VxQAK,323201105,1955-08-25,Brazil,false,Albrecht,Non-binary,Seabrooke,"Buffalo, New York - 0901",true
a003B000005F2VyQAK,999800074,1992-12-25,China,false,Jenine,Male,Bruhnke,"Tucson, Arizona - 2609",true
a003B000005F2VzQAK,767286153,1982-01-20,Honduras,true,Tallie,Non-binary,Bilson,"Albuquerque, New Mexico - 2407",true
a003B000005F2W0QAK,303265531,1954-04-24,China,false,Rebe,Genderfluid,Le Monnier,"Rio Grande City, Texas - 2307",true
a003B000005F2W1QAK,866267781,1977-05-05,Iran,false,Matteo,Agender,Dikles,"Albuquerque, New Mexico - 2407",true
a003B000005F2W2QAK,463753716,1955-02-02,Philippines,true,Murielle,Non-binary,Cannan,"Calexico East - Class A, California - 2507",true
a003B000005F2W3QAK,445028910,1960-10-07,Honduras,false,Miltie,Polygender,Labroue,"Tucson, Arizona - 2609",true
a003B000005F2W4QAK,173376614,1999-08-19,Indonesia,true,Mela,Male,Balmer,"Buffalo, New York - 0901",true
a003B000005F2W5QAK,748132883,1988-10-10,Honduras,true,Garrott,Male,Livezley,"Nogales, Arizona - 2604",true
a003B000005F2W6QAK,226006546,1979-07-12,China,false,Kev,Agender,Davidge,"Calexico East - Class A, California - 2507",true
a003B000005F2W7QAK,221190765,1952-12-06,Japan,true,Melinda,Non-binary,Folliss,"Nogales, Arizona - 2604",true
a003B000005F2W8QAK,673293173,1976-01-02,France,false,Francoise,Non-binary,Nowakowski,"Buffalo, New York - 0901",true
a003B000005F2W9QAK,252984030,1962-10-12,China,false,Gearard,Polygender,Stripling,"Albuquerque, New Mexico - 2407",true
a003B000005F2WAQA0,990595467,1966-05-13,Mexico,false,Lottie,Polygender,Buzzing,"Buffalo, New York - 0901",true
a003B000005F2WBQA0,832155057,1986-04-13,Russia,true,Windy,Agender,Gonoude,"Amarillo, Texas - 5502",true
a003B000005F2WCQA0,209679365,1955-03-30,American Samoa,false,Marijn,Bigender,Frantzen,"Amarillo, Texas - 5502",true
a003B000005F2WDQA0,446328993,1961-04-02,Indonesia,false,Pierrette,Non-binary,Shier,"Tucson, Arizona - 2609",true
a003B000005F2WEQA0,698754937,1965-12-29,Ireland,false,Lowrance,Non-binary,Gavrielly,"Calexico East - Class A, California - 2507",true
a003B000005F2WFQA0,811557457,1959-02-09,China,true,Anny,Genderfluid,Beranek,"Amarillo, Texas - 5502",true
a003B000005F2WGQA0,230631073,1980-10-05,United States,true,Haskel,Non-binary,Lumpkin,"Nogales, Arizona - 2604",true
a003B000005F2WHQA0,335238301,1950-04-07,China,false,Lexie,Non-binary,Mateos,"Calexico East - Class A, California - 2507",true
a003B000005F2WIQA0,764872716,1953-09-20,Peru,false,Roch,Bigender,Marsie,"Buffalo, New York - 0901",true
a003B000005F2WJQA0,467591214,1968-03-29,Portugal,false,Any,Bigender,Blatherwick,"Amarillo, Texas - 5502",true
a003B000005F2WKQA0,484770609,1999-05-02,France,false,Ikey,Male,Abramamovh,"Nogales, Arizona - 2604",true
a003B000005F2WLQA0,233424870,1983-06-23,Poland,true,Brocky,Polygender,Tillot,"Buffalo, New York - 0901",true
a003B000005F2WMQA0,872806773,1964-03-24,China,false,Karlan,Bigender,Melly,"Rio Grande City, Texas - 2307",true
a003B000005F2WNQA0,608519271,1957-12-21,Indonesia,true,Darrick,Male,Pepi,"Buffalo, New York - 0901",true
a003B000005F2WOQA0,638320675,1996-03-12,Portugal,true,Dario,Bigender,McGuigan,"Amarillo, Texas - 5502",true
a003B000005F2WPQA0,140378549,1977-06-30,Russia,false,Dulci,Polygender,Harbison,"Albuquerque, New Mexico - 2407",true
a003B000005F2WQQA0,365496728,1986-10-26,Honduras,false,Evered,Polygender,Ropkins,"Tucson, Arizona - 2609",true
a003B000005F2WRQA0,598241688,1963-01-29,South Korea,false,Adoree,Genderfluid,Inchan,"Calexico East - Class A, California - 2507",true
a003B000005F2WSQA0,772203543,1992-02-25,Argentina,true,Atlante,Agender,Stewart,"Nogales, Arizona - 2604",true
a003B000005F2WTQA0,866334769,1975-08-30,Indonesia,false,Bunnie,Male,Juster,"Calexico East - Class A, California - 2507",true
a003B000005F2WUQA0,911010900,1981-02-20,Sweden,false,Zora,Genderqueer,Horstead,"Albuquerque, New Mexico - 2407",true
a003B000005F2WVQA0,208256116,1968-12-31,China,true,Byran,Male,Aggus,"Calexico East - Class A, California - 2507",true
a003B000005F2WWQA0,458330089,1988-03-30,Philippines,false,Lucky,Female,Perryn,"Calexico East - Class A, California - 2507",true
a003B000005F2WXQA0,881367492,1970-05-23,China,false,Herschel,Genderfluid,Creer,"Rio Grande City, Texas - 2307",true
a003B000005F2WYQA0,626354142,1959-07-14,Malaysia,false,Risa,Non-binary,Dodwell,"Nogales, Arizona - 2604",true
a003B000005F2WZQA0,979653584,1953-03-22,Canada,false,Goddard,Bigender,Camelli,"Nogales, Arizona - 2604",true
a003B000005F2WaQAK,477520159,1970-09-04,Colombia,true,Elenore,Genderqueer,Wickstead,"Calexico East - Class A, California - 2507",true
a003B000005F2WbQAK,389261153,1966-11-28,Japan,true,Krissy,Polygender,Groocock,"Calexico East - Class A, California - 2507",true
a003B000005F2WcQAK,999919591,1993-10-02,China,true,Saree,Agender,Latey,"Albuquerque, New Mexico - 2407",true
a003B000005F2WdQAK,647606232,1978-08-05,China,false,Nev,Genderqueer,Cribbins,"Calexico East - Class A, California - 2507",true
a003B000005F2WeQAK,545331768,1958-07-23,Russia,true,Christoph,Bigender,Nockells,"Calexico East - Class A, California - 2507",true
a003B000005F2WfQAK,489244932,1972-08-08,Indonesia,false,Christiano,Genderfluid,Spores,"Amarillo, Texas - 5502",true
a003B000005F2WgQAK,875141967,1976-12-02,Armenia,true,Caldwell,Agender,Motherwell,"Tucson, Arizona - 2609",true
a003B000005F2WhQAK,657769654,1973-07-09,Philippines,false,Austin,Bigender,Eagland,"Rio Grande City, Texas - 2307",true
a003B000005F2WiQAK,891188012,1966-04-21,China,false,Fanchette,Non-binary,Murt,"Amarillo, Texas - 5502",true
a003B000005F2WjQAK,827644042,1992-03-13,United States,true,Ginelle,Polygender,Cocozza,"Tucson, Arizona - 2609",true
a003B000005F2WkQAK,915018086,1963-05-13,China,true,Ellissa,Male,Fludder,"Amarillo, Texas - 5502",true
a003B000005F2WlQAK,581847693,1989-10-11,United States,false,Carilyn,Agender,Cumberledge,"Amarillo, Texas - 5502",true
a003B000005F2MrQAK,230187007,1957-09-07,Colombia,false,Georg,Genderqueer,Issatt,"Rio Grande City, Texas - 2307",true
a003B000005F2MsQAK,434359959,1966-11-29,United States,false,Maggy,Genderfluid,Priddie,"Albuquerque, New Mexico - 2407",true
a003B000005F2MtQAK,674266047,1950-10-17,Philippines,false,Rriocard,Male,Murby,"Buffalo, New York - 0901",true
a003B000005F2MuQAK,240387656,1999-11-09,Canada,false,Sigmund,Agender,Sappell,"Nogales, Arizona - 2604",true
a003B000005F2MvQAK,570407737,1989-06-26,United States,true,Sarita,Genderfluid,Cromblehome,"Buffalo, New York - 0901",true
a003B000005F2MwQAK,221054903,1967-09-11,Sweden,true,Verge,Non-binary,Le - Count,"Albuquerque, New Mexico - 2407",true
a003B000005F2MxQAK,354243156,1953-01-09,China,true,Rodney,Male,Matthews,"Rio Grande City, Texas - 2307",true
a003B000005F2MyQAK,840134719,1972-05-19,Syria,false,Melitta,Polygender,Buzine,"Calexico East - Class A, California - 2507",true
a003B000005F2MzQAK,840309430,1989-05-01,Indonesia,false,Woodie,Polygender,Tocque,"Tucson, Arizona - 2609",true
a003B000005F2N0QAK,609269719,1965-11-17,Portugal,false,Ignazio,Male,Mustin,"Calexico East - Class A, California - 2507",true
a003B000005F2N1QAK,745643714,1991-11-24,Sweden,true,Levon,Male,Dusting,"Tucson, Arizona - 2609",true
a003B000005F2N2QAK,906724980,1995-10-15,Indonesia,true,Ashleigh,Polygender,Casserley,"Rio Grande City, Texas - 2307",true
a003B000005F2N3QAK,689546012,1977-08-10,Uruguay,false,Zarah,Non-binary,Metcalfe,"Albuquerque, New Mexico - 2407",true
a003B000005F2N4QAK,961832993,1974-05-07,Ukraine,true,Andreana,Bigender,Breagan,"Calexico East - Class A, California - 2507",true
a003B000005F2N5QAK,260030645,1962-04-13,France,true,Samuel,Non-binary,Hanton,"Albuquerque, New Mexico - 2407",true
a003B000005F2N6QAK,190727779,1960-01-06,Indonesia,false,Seumas,Genderqueer,McKenney,"Calexico East - Class A, California - 2507",true
a003B000005F2N7QAK,631548606,1951-01-28,Chile,false,Tina,Male,Lack,"Rio Grande City, Texas - 2307",true
a003B000005F2N8QAK,148426602,1964-12-20,Bolivia,true,Kristofor,Non-binary,Rops,"Tucson, Arizona - 2609",true
a003B000005F2N9QAK,440786304,1950-06-23,China,true,Esme,Agender,Golton,"Buffalo, New York - 0901",true
a003B000005F2NAQA0,364897852,1977-04-13,China,true,Daniella,Non-binary,Liepina,"Tucson, Arizona - 2609",true
